occupancy_date,sector,capacity_type,location_city,occupied_beds,capacity_actual_bed,occupied_rooms,capacity_actual_room,occupancy_rate_beds,occupancy_rate_rooms,occupancy_rate
2024-01-02,Youth,Bed Based Capacity,Toronto,40,40,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Toronto,25,25,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Toronto,31,31,0,0,1,0,100
2024-01-02,Women,Bed Based Capacity,Toronto,28,28,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Toronto,26,27,0,0,0.9629629629629629,0,96.29629629629629
2024-01-02,Youth,Bed Based Capacity,Etobicoke,33,33,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Etobicoke,19,20,0,0,0.95,0,95
2024-01-02,Youth,Bed Based Capacity,Scarborough,10,10,0,0,1,0,100
2024-01-02,Youth,Bed Based Capacity,Scarborough,40,41,0,0,0.975609756097561,0,97.5609756097561
2024-01-03,Families,Room Based Capacity,Toronto,0,0,149,150,0,0.9933333333333333,99.33333333333333
2024-01-03,Mixed Adult,Room Based Capacity,Toronto,0,0,57,57,0,1,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,8,8,0,0,1,0,100
2024-01-03,Families,Room Based Capacity,North York,0,0,68,68,0,1,100
2024-01-03,Families,Room Based Capacity,North York,0,0,160,160,0,1,100
2024-01-03,Mixed Adult,Room Based Capacity,Etobicoke,0,0,143,143,0,1,100
2024-01-03,Men,Room Based Capacity,Toronto,0,0,39,39,0,1,100
2024-01-03,Men,Bed Based Capacity,Toronto,42,42,0,0,1,0,100
2024-01-03,Men,Bed Based Capacity,Toronto,30,30,0,0,1,0,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,23,23,0,0,1,0,100
2024-01-03,Families,Room Based Capacity,Toronto,0,0,30,30,0,1,100
2024-01-03,Families,Room Based Capacity,Toronto,0,0,63,63,0,1,100
2024-01-03,Mixed Adult,Room Based Capacity,North York,0,0,12,12,0,1,100
2024-01-03,Mixed Adult,Room Based Capacity,North York,0,0,81,81,0,1,100
2024-01-03,Mixed Adult,Room Based Capacity,North York,0,0,15,15,0,1,100
2024-01-03,Mixed Adult,Room Based Capacity,North York,0,0,74,75,0,0.9866666666666667,98.66666666666667
2024-01-03,Men,Bed Based Capacity,Toronto,15,18,0,0,0.8333333333333334,0,83.33333333333334
2024-01-03,Women,Room Based Capacity,Scarborough,0,0,103,103,0,1,100
2024-01-03,Families,Room Based Capacity,Toronto,0,0,45,45,0,1,100
2024-01-03,Families,Room Based Capacity,Toronto,0,0,48,48,0,1,100
2024-01-03,Families,Room Based Capacity,Toronto,0,0,20,20,0,1,100
